"n.tips","q.rate","s","direction","rep","n0","n1","n.true.trans","n.discard","T.obs.01","T.obs.10","p.anccond.01","p.anccond.10","p.upper.01","p.lower.01","p.upper.10","p.lower.10","p.phyloglm","p.pgls"
100,0.5,1,-1,9,88,12,9,0,NA,NA,NA,NA,NA,NA,NA,NA,0.5206231267093,0.607278938470562
100,0.5,1,-1,10,29,71,11,0,NA,NA,NA,NA,NA,NA,NA,NA,0.99917720516028,0.979369094109063
100,0.5,1,1,11,8,92,4,0,NA,NA,NA,NA,NA,NA,NA,NA,0.297010903088075,0.221629476987181
100,0.5,1,1,12,68,32,9,0,NA,NA,NA,NA,NA,NA,NA,NA,0.99526012985748,0.278799384403488
100,0.5,1,-1,13,80,20,17,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999597326467571,0.399203464849667
100,0.5,1,-1,14,13,87,12,0,NA,NA,NA,NA,NA,NA,NA,NA,0.828389842322212,0.539277590801023
100,0.5,1,-1,15,68,32,13,0,NA,NA,NA,NA,NA,NA,NA,NA,0.99964583403937,0.840747430298598
100,0.5,1,-1,16,28,72,9,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999183696006353,0.61107831679369
100,0.5,1,-1,17,25,75,19,0,NA,NA,NA,NA,NA,NA,NA,NA,0.788513940767467,0.690666851759738
100,0.5,1,-1,18,9,91,5,0,NA,NA,NA,NA,NA,NA,NA,NA,0.323240548348256,0.220155075176051
100,0.5,1,-1,19,30,70,12,0,NA,NA,NA,NA,NA,NA,NA,NA,0.998597971118435,0.929525041745668
100,0.5,1,1,20,63,37,9,0,NA,NA,NA,NA,NA,NA,NA,NA,0.392144692734389,0.907531642882329
100,0.5,1,1,21,16,84,10,0,NA,NA,NA,NA,NA,NA,NA,NA,0.479452297079589,0.389450270648969
100,0.5,1,-1,22,30,70,18,0,NA,NA,NA,NA,NA,NA,NA,NA,0.804828860719779,0.31376143736205
100,0.5,1,1,23,81,19,13,0,NA,NA,NA,NA,NA,NA,NA,NA,0.817107780322686,0.720514272524214
100,0.5,1,-1,24,71,29,16,0,NA,NA,NA,NA,NA,NA,NA,NA,0.998093926896709,0.630617199340542
100,0.5,1,1,25,85,15,11,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999880428468974,0.645092747322582
100,0.5,1,-1,26,81,19,12,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999987351427567,0.765021159005679
100,0.5,1,1,27,15,85,17,0,NA,NA,NA,NA,NA,NA,NA,NA,0.717881958269353,0.93176254388141
100,0.5,1,1,28,28,72,17,0,NA,NA,NA,NA,NA,NA,NA,NA,0.674462456219939,0.0381320768974511
100,0.5,1,1,29,10,90,7,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999579283053257,0.996116231222973
100,0.5,1,1,30,90,10,9,0,NA,NA,NA,NA,NA,NA,NA,NA,0.998460823796544,0.668855157435125
100,0.5,1,-1,31,69,31,19,0,NA,NA,NA,NA,NA,NA,NA,NA,0.547029572984764,0.245938848812201
100,0.5,1,-1,32,64,36,9,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999142686476213,0.638921856600577
100,0.5,1,-1,33,52,48,13,0,NA,NA,NA,NA,NA,NA,NA,NA,0.997690269152361,0.193976827229163
100,0.5,1,1,34,87,13,8,0,NA,NA,NA,NA,NA,NA,NA,NA,0.345628767775751,0.603246594561224
100,0.5,1,-1,35,74,26,14,0,NA,NA,NA,NA,NA,NA,NA,NA,0.761068317143493,0.116074807926207
100,0.5,1,-1,36,14,86,7,0,NA,NA,NA,NA,NA,NA,NA,NA,0.998935742435293,0.620237890064775
100,0.5,1,-1,37,54,46,18,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999489746100462,0.00368926238722163
100,0.5,1,1,38,80,20,21,0,NA,NA,NA,NA,NA,NA,NA,NA,0.652028138357588,0.239529745751164
100,0.5,1,-1,39,79,21,9,0,NA,NA,NA,NA,NA,NA,NA,NA,0.976205890017048,0.376815990078044
100,0.5,1,1,40,16,84,12,0,NA,NA,NA,NA,NA,NA,NA,NA,0.99835383089749,0.333020759673545
100,0.5,1,-1,41,32,68,16,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0998902809378432,0.298459094780348
100,0.5,1,1,42,34,66,11,0,NA,NA,NA,NA,NA,NA,NA,NA,0.991285939877412,0.810663959776643
100,0.5,1,1,43,64,36,12,0,NA,NA,NA,NA,NA,NA,NA,NA,0.923755634157096,0.316101326997195
100,0.5,1,1,44,79,21,14,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999252655751309,0.285459543071973
100,0.5,1,-1,45,46,54,14,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999827088049758,0.840498694263961
100,0.5,1,1,46,77,23,20,0,NA,NA,NA,NA,NA,NA,NA,NA,0.998582099467459,0.0194676270384427
100,0.5,1,-1,47,67,33,11,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999867471422434,0.911245851779056
100,0.5,1,1,48,53,47,16,0,NA,NA,NA,NA,NA,NA,NA,NA,0.836310433309613,0.619345099777276
100,0.5,1,-1,49,21,79,11,0,NA,NA,NA,NA,NA,NA,NA,NA,0.997985806506979,0.725358809681667
100,0.5,1,-1,50,74,26,11,0,NA,NA,NA,NA,NA,NA,NA,NA,0.998840369913214,0.494521620592013
50,0.1,2,1,1,47,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.999712589174598,0.526294336079635
50,0.1,2,1,2,38,12,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999670401356674,0.529974263239939
50,0.1,2,-1,3,44,6,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0.200736781381374
50,0.1,2,-1,4,46,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0.999108984069868,0.446298791365299
50,0.1,2,1,5,46,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,0.767884585161919,0.356931892349466
50,0.1,2,-1,6,6,44,5,1,NA,NA,NA,NA,NA,NA,NA,NA,0.993955582161633,0.921035794565475
50,0.1,2,-1,7,5,45,5,0,NA,NA,NA,NA,NA,NA,NA,NA,0.998705447881359,0.84701441770383
50,0.1,2,1,8,13,37,1,3,NA,NA,NA,NA,NA,NA,NA,NA,0.997664104162657,0.608160621902397
50,0.1,2,-1,9,9,41,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.99827319943528,0.264173785364613
50,0.1,2,1,10,4,46,3,0,NA,NA,NA,NA,NA,NA,NA,NA,0.377088034021362,0.27400680679671
50,0.1,2,1,11,11,39,3,2,NA,NA,NA,NA,NA,NA,NA,NA,0.999053627294297,0.762207753392754
50,0.1,2,1,12,7,43,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999198388530475,0.514175362255711
50,0.1,2,1,13,11,39,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999602598734334,0.781175909495743
50,0.1,2,1,14,45,5,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999913498351178,0.0525304912710372
50,0.1,2,-1,15,8,42,3,6,NA,NA,NA,NA,NA,NA,NA,NA,0.998105644316893,0.765934185830544
50,0.1,2,-1,16,45,5,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999613912685358,0.435983700882703
50,0.1,2,1,17,7,43,2,1,NA,NA,NA,NA,NA,NA,NA,NA,0.929366954304896,0.835630990164626
50,0.1,2,-1,18,9,41,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999707426178943,0.227333428349649
50,0.1,2,1,19,5,45,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999647483954364,0.926266844928788
50,0.1,2,1,20,39,11,3,2,NA,NA,NA,NA,NA,NA,NA,NA,0.999932054954876,0.894358541947075
50,0.1,2,1,21,42,8,3,1,NA,NA,NA,NA,NA,NA,NA,NA,0.999397791836159,0.307343863868206
50,0.1,2,-1,22,47,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,0.998259007864521,0.483787730616955
50,0.1,2,-1,23,43,7,3,0,NA,NA,NA,NA,NA,NA,NA,NA,0.97903736147102,0.632640194182292
